No protocol specified
dropped categorical variable 'SEX', because it has only 1 values
[32m[I 2022-04-13 11:43:22,798][0m A new study created in memory with name: no-name-254e8165-b827-4f85-ba34-7ac6c258ede8[0m
[32m[I 2022-04-13 11:46:26,187][0m Trial 0 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.601762275126814e-06, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0867314001757515, 'min_impurity_decrease': 0.23803169650781417, 'max_features': 0.2927066369024008, 'subsample': 0.03387756265930235, 'dropout_rate': 0.4510978591106314, 'ccp_alpha': 2.130099317007141}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 20:59:07,961][0m Trial 300 finished with value: 0.7761470796392778 and parameters: {'loss': 'coxph', 'learning_rate': 3.449537304659525e-06, 'n_estimators': 781, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.33466398709566947, 'min_impurity_decrease': 0.4097348087640345, 'max_features': 0.8333347977944717, 'subsample': 0.035012867403614284, 'dropout_rate': 0.5147440845468279, 'ccp_alpha': 0.23227432571851026}. Best is trial 300 with value: 0.7761470796392778.[0m
[32m[I 2022-04-13 21:03:04,132][0m Trial 301 finished with value: 0.7799636929228214 and parameters: {'loss': 'coxph', 'learning_rate': 2.1272408449265622e-06, 'n_estimators': 752, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.33054878837214147, 'min_impurity_decrease': 0.402225968987528, 'max_features': 0.8173291863941243, 'subsample': 0.04199084330902066, 'dropout_rate': 0.5389038316672831, 'ccp_alpha': 0.11911321365038285}. Best is trial 301 with value: 0.7799636929228214.[0m
[32m[I 2022-04-13 21:07:27,697][0m Trial 302 finished with value: 0.7800707928476036 and parameters: {'loss': 'coxph', 'learning_rate': 1.9521710389020637e-06, 'n_estimators': 769, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3308334338311278, 'min_impurity_decrease': 0.42444801803432847, 'max_features': 0.830540021139156, 'subsample': 0.028159910025302506, 'dropout_rate': 0.5262320400039983, 'ccp_alpha': 0.11768964712066571}. Best is trial 302 with value: 0.7800707928476036.[0m
[32m[I 2022-04-13 21:11:41,637][0m Trial 303 finished with value: 0.7804086765608305 and parameters: {'loss': 'coxph', 'learning_rate': 2.9838058742949013e-06, 'n_estimators': 774, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3353590062890476, 'min_impurity_decrease': 0.4099112936592036, 'max_features': 0.8284055103669283, 'subsample': 0.04995819353981312, 'dropout_rate': 0.5121117917595641, 'ccp_alpha': 0.06867019681712637}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:15:37,581][0m Trial 304 finished with value: 0.7787476210990799 and parameters: {'loss': 'coxph', 'learning_rate': 3.383783686893262e-06, 'n_estimators': 758, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3308825676273533, 'min_impurity_decrease': 0.37837245141819015, 'max_features': 0.8199447214709373, 'subsample': 0.031088259689636254, 'dropout_rate': 0.5213036719521558, 'ccp_alpha': 0.08324392776364313}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:18:27,744][0m Trial 305 finished with value: -0.36832349438639966 and parameters: {'loss': 'squared', 'learning_rate': 3.4049080284513387e-06, 'n_estimators': 760, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.33388175018280186, 'min_impurity_decrease': 0.4099929086247071, 'max_features': 0.8193517233699962, 'subsample': 0.04019139458941509, 'dropout_rate': 0.49811707088051205, 'ccp_alpha': 0.1196802143767082}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:22:33,694][0m Trial 306 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 2.03908071561181e-06, 'n_estimators': 794, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3174040809593001, 'min_impurity_decrease': 0.3905936123469345, 'max_features': 0.8357828086276257, 'subsample': 0.009361234646678075, 'dropout_rate': 0.5206748261734647, 'ccp_alpha': 0.07699041394264379}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:26:57,632][0m Trial 307 finished with value: 0.7799329362661882 and parameters: {'loss': 'coxph', 'learning_rate': 2.6984998669470487e-06, 'n_estimators': 827, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3421357122375364, 'min_impurity_decrease': 0.3700568824854922, 'max_features': 0.8005289126150067, 'subsample': 0.041092996976521204, 'dropout_rate': 0.5213840619055339, 'ccp_alpha': 0.024723625722372522}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:31:00,340][0m Trial 308 finished with value: 0.7801061449224971 and parameters: {'loss': 'coxph', 'learning_rate': 2.7806071879908854e-06, 'n_estimators': 833, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.340735650329521, 'min_impurity_decrease': 0.37137732857054084, 'max_features': 0.8048345177705439, 'subsample': 0.038611854496774504, 'dropout_rate': 0.5227735607413224, 'ccp_alpha': 0.22264430590845702}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:35:22,200][0m Trial 309 finished with value: 0.778847346934134 and parameters: {'loss': 'coxph', 'learning_rate': 2.4576199136343744e-06, 'n_estimators': 830, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3477188050731066, 'min_impurity_decrease': 0.38172338964361, 'max_features': 0.8064606080318447, 'subsample': 0.04601602002360715, 'dropout_rate': 0.5251430175119822, 'ccp_alpha': 0.20612734368180005}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:40:07,523][0m Trial 310 finished with value: 0.7803636842151913 and parameters: {'loss': 'coxph', 'learning_rate': 4.104910394126138e-06, 'n_estimators': 824, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34240652107596603, 'min_impurity_decrease': 0.42302042871110757, 'max_features': 0.807380230125053, 'subsample': 0.048118464522468526, 'dropout_rate': 0.5247049578408124, 'ccp_alpha': 0.00935508071113545}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:44:35,822][0m Trial 311 finished with value: 0.7792338867633191 and parameters: {'loss': 'coxph', 'learning_rate': 4.00376403747372e-06, 'n_estimators': 831, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3461070782930177, 'min_impurity_decrease': 0.37384087594974846, 'max_features': 0.8079137915213, 'subsample': 0.04566410538011959, 'dropout_rate': 0.5253755399500006, 'ccp_alpha': 0.20096550788299217}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:48:57,929][0m Trial 312 finished with value: 0.7797520195656744 and parameters: {'loss': 'coxph', 'learning_rate': 3.571049811529754e-06, 'n_estimators': 828, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34505328852063255, 'min_impurity_decrease': 0.4199054420221368, 'max_features': 0.8073426526514534, 'subsample': 0.05394805975648324, 'dropout_rate': 0.5258685246644826, 'ccp_alpha': 0.20527151802975857}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:52:23,427][0m Trial 313 finished with value: 0.7802487623953323 and parameters: {'loss': 'coxph', 'learning_rate': 4.073393621318701e-06, 'n_estimators': 765, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.344023481479309, 'min_impurity_decrease': 0.36851469685519284, 'max_features': 0.8322697183349516, 'subsample': 0.044999540398307905, 'dropout_rate': 0.5157820167796254, 'ccp_alpha': 0.19122567440682503}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:55:32,949][0m Trial 314 finished with value: 0.7795639699865518 and parameters: {'loss': 'coxph', 'learning_rate': 4.54609965422721e-06, 'n_estimators': 759, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34285553395207735, 'min_impurity_decrease': 0.36881555456862253, 'max_features': 0.8128151114840367, 'subsample': 0.04636934768449904, 'dropout_rate': 0.518061044395303, 'ccp_alpha': 0.197196620441772}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 21:59:21,791][0m Trial 315 finished with value: 0.7791231986614147 and parameters: {'loss': 'coxph', 'learning_rate': 4.230427376300018e-06, 'n_estimators': 825, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34306307539667963, 'min_impurity_decrease': 0.42077413558291316, 'max_features': 0.8188694515385928, 'subsample': 0.04991405675580682, 'dropout_rate': 0.523573680270835, 'ccp_alpha': 0.19729703820897992}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 22:03:02,552][0m Trial 316 finished with value: 0.7794095455547205 and parameters: {'loss': 'coxph', 'learning_rate': 4.619806780700364e-06, 'n_estimators': 826, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3461274445328471, 'min_impurity_decrease': 0.36784311873156894, 'max_features': 0.8075429806453848, 'subsample': 0.046853841808400305, 'dropout_rate': 0.519829752366591, 'ccp_alpha': 0.20168518450642592}. Best is trial 303 with value: 0.7804086765608305.[0m
[32m[I 2022-04-13 22:06:14,654][0m Trial 317 finished with value: 0.7815705261705512 and parameters: {'loss': 'coxph', 'learning_rate': 4.706167638965535e-06, 'n_estimators': 769, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34591671635273985, 'min_impurity_decrease': 0.3753031442581544, 'max_features': 0.8055741275347711, 'subsample': 0.0526113123558293, 'dropout_rate': 0.5246478184367712, 'ccp_alpha': 0.19371286539966448}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:09:31,813][0m Trial 318 finished with value: 0.7794994597281928 and parameters: {'loss': 'coxph', 'learning_rate': 4.773588170235229e-06, 'n_estimators': 781, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34662322998281864, 'min_impurity_decrease': 0.3694873290424713, 'max_features': 0.8084892698297428, 'subsample': 0.048751654103141286, 'dropout_rate': 0.5241969165586778, 'ccp_alpha': 0.1981480615705313}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:12:51,331][0m Trial 319 finished with value: 0.7794884945721863 and parameters: {'loss': 'coxph', 'learning_rate': 4.120381662889233e-06, 'n_estimators': 778, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34695881773609016, 'min_impurity_decrease': 0.36813441296119254, 'max_features': 0.8083963525048886, 'subsample': 0.04607473129984116, 'dropout_rate': 0.5227564900280063, 'ccp_alpha': 0.20246306622140636}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:16:02,026][0m Trial 320 finished with value: 0.7802774691165039 and parameters: {'loss': 'coxph', 'learning_rate': 4.909002693851556e-06, 'n_estimators': 773, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34656042784480107, 'min_impurity_decrease': 0.3659995271220292, 'max_features': 0.8090073492742162, 'subsample': 0.04559236312982317, 'dropout_rate': 0.5230932707432878, 'ccp_alpha': 0.17602904132417024}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:19:13,689][0m Trial 321 finished with value: 0.7788455010068962 and parameters: {'loss': 'coxph', 'learning_rate': 4.627648627900861e-06, 'n_estimators': 781, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3447244040585366, 'min_impurity_decrease': 0.3663920206942566, 'max_features': 0.8060827981145243, 'subsample': 0.04729687978514596, 'dropout_rate': 0.5149656707028075, 'ccp_alpha': 0.2058641153947648}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:22:26,380][0m Trial 322 finished with value: 0.7791016927095352 and parameters: {'loss': 'coxph', 'learning_rate': 4.696976752125695e-06, 'n_estimators': 776, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34801634055208147, 'min_impurity_decrease': 0.36693370081155063, 'max_features': 0.8333691808579191, 'subsample': 0.04716263567605237, 'dropout_rate': 0.5221181719975475, 'ccp_alpha': 0.20835142554838573}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:25:21,861][0m Trial 323 finished with value: 0.7799131156709355 and parameters: {'loss': 'coxph', 'learning_rate': 4.123273505759971e-06, 'n_estimators': 751, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34658485645426346, 'min_impurity_decrease': 0.36339376384281796, 'max_features': 0.8113862578845348, 'subsample': 0.04635191788982279, 'dropout_rate': 0.5217525724890493, 'ccp_alpha': 0.19309620872222932}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:28:10,492][0m Trial 324 finished with value: 0.7815006109006057 and parameters: {'loss': 'coxph', 'learning_rate': 4.932461237421835e-06, 'n_estimators': 743, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34774286941078186, 'min_impurity_decrease': 0.3726926046074144, 'max_features': 0.8072739257267971, 'subsample': 0.051932289509425224, 'dropout_rate': 0.5267364417323228, 'ccp_alpha': 0.2006819945786379}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:31:04,494][0m Trial 325 finished with value: 0.7788379125039283 and parameters: {'loss': 'coxph', 'learning_rate': 4.920571917479294e-06, 'n_estimators': 740, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3466368963274544, 'min_impurity_decrease': 0.367777777510655, 'max_features': 0.809402845091482, 'subsample': 0.05044282277119923, 'dropout_rate': 0.5368692673187971, 'ccp_alpha': 0.1994528905120004}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:33:56,664][0m Trial 326 finished with value: 0.7786020982506632 and parameters: {'loss': 'coxph', 'learning_rate': 4.978775432063778e-06, 'n_estimators': 735, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34714570940206063, 'min_impurity_decrease': 0.3613437423490622, 'max_features': 0.813218801734157, 'subsample': 0.04490303830980315, 'dropout_rate': 0.5399472015579588, 'ccp_alpha': 0.2154526701096904}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:37:00,531][0m Trial 327 finished with value: 0.7779499320646652 and parameters: {'loss': 'coxph', 'learning_rate': 4.849068016081304e-06, 'n_estimators': 738, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3487310973502728, 'min_impurity_decrease': 0.3640927312072982, 'max_features': 0.8146142277883465, 'subsample': 0.031862868628986005, 'dropout_rate': 0.5322312864942382, 'ccp_alpha': 0.22133549282502676}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:38:42,891][0m Trial 328 finished with value: -0.3615899609510659 and parameters: {'loss': 'squared', 'learning_rate': 4.899340033593166e-06, 'n_estimators': 740, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.348325482699661, 'min_impurity_decrease': 0.36666860648239236, 'max_features': 0.8069390946171353, 'subsample': 0.05702068890726697, 'dropout_rate': 0.5352775596212341, 'ccp_alpha': 0.3991988037473555}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:42:09,110][0m Trial 329 finished with value: 0.7783771795505613 and parameters: {'loss': 'coxph', 'learning_rate': 5.1219281737678824e-06, 'n_estimators': 816, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.34823152646553646, 'min_impurity_decrease': 0.37026450641924136, 'max_features': 0.8198769167330624, 'subsample': 0.020278337023658218, 'dropout_rate': 0.5361905506882623, 'ccp_alpha': 0.19243076318217842}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:45:31,079][0m Trial 330 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 4.692419606778808e-06, 'n_estimators': 818, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.36525580191796825, 'min_impurity_decrease': 0.3772298021926442, 'max_features': 0.8481051968667559, 'subsample': 0.005766309467023729, 'dropout_rate': 0.5461287704216519, 'ccp_alpha': 0.0024338206468449697}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:48:50,188][0m Trial 331 finished with value: 0.7793353120869374 and parameters: {'loss': 'coxph', 'learning_rate': 5.394165478666003e-06, 'n_estimators': 816, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.357800978977644, 'min_impurity_decrease': 0.34977839139630057, 'max_features': 0.7995252328164345, 'subsample': 0.07135685546153847, 'dropout_rate': 0.5269555872580031, 'ccp_alpha': 0.15012377377264272}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:51:28,883][0m Trial 332 finished with value: 0.6371812073302544 and parameters: {'loss': 'coxph', 'learning_rate': 4.171355753924757e-06, 'n_estimators': 729, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3629733689886833, 'min_impurity_decrease': 0.343567632257109, 'max_features': 0.8052302709592412, 'subsample': 0.06643871491305704, 'dropout_rate': 0.5285904701359707, 'ccp_alpha': 0.3185119040879419}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:55:10,521][0m Trial 333 finished with value: 0.7795252135261033 and parameters: {'loss': 'coxph', 'learning_rate': 5.537179391108584e-06, 'n_estimators': 811, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3558942907610679, 'min_impurity_decrease': 0.38860875100753334, 'max_features': 0.7954843697447382, 'subsample': 0.039583483175353026, 'dropout_rate': 0.521369722324499, 'ccp_alpha': 0.10456899100372286}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 22:59:01,068][0m Trial 334 finished with value: 0.7795220057481694 and parameters: {'loss': 'coxph', 'learning_rate': 6.008972582169813e-06, 'n_estimators': 815, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3564244454723301, 'min_impurity_decrease': 0.38965666661932125, 'max_features': 0.8444489391587444, 'subsample': 0.07262114692045707, 'dropout_rate': 0.49700895304302295, 'ccp_alpha': 0.09839711881178118}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:02:54,598][0m Trial 335 finished with value: 0.48184912657428935 and parameters: {'loss': 'coxph', 'learning_rate': 5.741033593147916e-06, 'n_estimators': 816, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.35616507277457554, 'min_impurity_decrease': 0.390062505901123, 'max_features': 0.8416714926582433, 'subsample': 0.07147100440048942, 'dropout_rate': 0.48488411359709166, 'ccp_alpha': 0.3616035325003748}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:06:23,340][0m Trial 336 finished with value: 0.7805829111968969 and parameters: {'loss': 'coxph', 'learning_rate': 7.51615107463358e-06, 'n_estimators': 812, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3428772646378702, 'min_impurity_decrease': 0.3343603292624901, 'max_features': 0.7991809149434057, 'subsample': 0.05113197774860771, 'dropout_rate': 0.5558445570602831, 'ccp_alpha': 0.13449734302710348}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:10:03,575][0m Trial 337 finished with value: 0.7803731882294624 and parameters: {'loss': 'coxph', 'learning_rate': 7.025574441183933e-06, 'n_estimators': 842, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3744595013591408, 'min_impurity_decrease': 0.32792952670492126, 'max_features': 0.789355201620299, 'subsample': 0.07941280215474582, 'dropout_rate': 0.5576073733528769, 'ccp_alpha': 0.11445166589303794}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:14:06,000][0m Trial 338 finished with value: 0.7811243783180177 and parameters: {'loss': 'coxph', 'learning_rate': 7.466326602174707e-06, 'n_estimators': 830, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3592482770133384, 'min_impurity_decrease': 0.33757096261746916, 'max_features': 0.7943189387462151, 'subsample': 0.07314442720195094, 'dropout_rate': 0.5544700442243268, 'ccp_alpha': 0.10619593262540303}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:18:02,458][0m Trial 339 finished with value: 0.7802167932228855 and parameters: {'loss': 'coxph', 'learning_rate': 7.467421829393149e-06, 'n_estimators': 844, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3704299485509589, 'min_impurity_decrease': 0.32837824518948344, 'max_features': 0.8690875893450808, 'subsample': 0.08108534559806985, 'dropout_rate': 0.5600818038154558, 'ccp_alpha': 0.09484077354234603}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:22:00,722][0m Trial 340 finished with value: 0.7811565801247409 and parameters: {'loss': 'coxph', 'learning_rate': 6.1583637363691615e-06, 'n_estimators': 845, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.36794790097856195, 'min_impurity_decrease': 0.32840801925242924, 'max_features': 0.8644329285874363, 'subsample': 0.08005220329685511, 'dropout_rate': 0.5577666517612695, 'ccp_alpha': 0.006492799056560111}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:25:57,364][0m Trial 341 finished with value: 0.7808863705521811 and parameters: {'loss': 'coxph', 'learning_rate': 7.710337615982772e-06, 'n_estimators': 863, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3738312058921009, 'min_impurity_decrease': 0.3289936372546972, 'max_features': 0.8684033675413606, 'subsample': 0.08323495326167349, 'dropout_rate': 0.5562003356612101, 'ccp_alpha': 0.004001756004998696}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:30:02,752][0m Trial 342 finished with value: 0.7803135737320195 and parameters: {'loss': 'coxph', 'learning_rate': 6.814043163445007e-06, 'n_estimators': 860, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3748079060540431, 'min_impurity_decrease': 0.32576707916669556, 'max_features': 0.8661329728621696, 'subsample': 0.08159835485683428, 'dropout_rate': 0.5610034680470825, 'ccp_alpha': 0.011796051326321428}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:34:15,452][0m Trial 343 finished with value: 0.780763551875794 and parameters: {'loss': 'coxph', 'learning_rate': 6.750995716087199e-06, 'n_estimators': 862, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37511153644921547, 'min_impurity_decrease': 0.3265891480174484, 'max_features': 0.862507761415015, 'subsample': 0.08511805949806742, 'dropout_rate': 0.5591240076630722, 'ccp_alpha': 0.018502628516014835}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:38:18,236][0m Trial 344 finished with value: 0.7803937295061196 and parameters: {'loss': 'coxph', 'learning_rate': 6.958357721525923e-06, 'n_estimators': 845, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.376150650596292, 'min_impurity_decrease': 0.3193163268844377, 'max_features': 0.8727711031554493, 'subsample': 0.08158731766129136, 'dropout_rate': 0.5607794085022816, 'ccp_alpha': 0.0017477350293378996}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:42:25,037][0m Trial 345 finished with value: 0.7807459077569773 and parameters: {'loss': 'coxph', 'learning_rate': 7.302028763402809e-06, 'n_estimators': 866, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.38066788203829, 'min_impurity_decrease': 0.3301035459602473, 'max_features': 0.8676426407535581, 'subsample': 0.09099173665218635, 'dropout_rate': 0.5604229707201629, 'ccp_alpha': 0.00104216606863336}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:46:34,446][0m Trial 346 finished with value: 0.7809413866561579 and parameters: {'loss': 'coxph', 'learning_rate': 7.660861892740408e-06, 'n_estimators': 872, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37635951541897605, 'min_impurity_decrease': 0.32438962713355074, 'max_features': 0.8612383754572173, 'subsample': 0.08578686898635493, 'dropout_rate': 0.5618662657946842, 'ccp_alpha': 0.007884327767835061}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:50:42,215][0m Trial 347 finished with value: 0.7804423279584333 and parameters: {'loss': 'coxph', 'learning_rate': 7.923709312473647e-06, 'n_estimators': 865, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37353700916996185, 'min_impurity_decrease': 0.32352881390881794, 'max_features': 0.8712990855632902, 'subsample': 0.08964747970933887, 'dropout_rate': 0.563495073919736, 'ccp_alpha': 0.01459475737583325}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-13 23:53:35,094][0m Trial 348 finished with value: -0.3669853896874334 and parameters: {'loss': 'squared', 'learning_rate': 8.044949913164252e-06, 'n_estimators': 866, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.376783653835421, 'min_impurity_decrease': 0.322706344426793, 'max_features': 0.8623192878885949, 'subsample': 0.0907417411560668, 'dropout_rate': 0.563309558713926, 'ccp_alpha': 0.017087315492887167}. Best is trial 317 with value: 0.7815705261705512.[0m
