No protocol specified
[32m[I 2022-04-13 11:44:06,848][0m A new study created in memory with name: no-name-0aab40b5-3eeb-420d-a579-cb603aaa6019[0m
[32m[I 2022-04-13 11:44:11,487][0m Trial 0 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017553103748186347, 'n_estimators': 246, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023000238880208572, 'min_impurity_decrease': 0.22649917377918485, 'max_features': 0.2509370038727874, 'subsample': 0.5756093753196724, 'dropout_rate': 0.8385757486345945, 'ccp_alpha': 3.236731951636076}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 23:30:02,061][0m Trial 364 finished with value: -0.3755287173047692 and parameters: {'loss': 'squared', 'learning_rate': 0.000855327430234482, 'n_estimators': 747, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.02389245237817412, 'min_impurity_decrease': 0.46199548127223533, 'max_features': 0.8396439966516381, 'subsample': 0.8112992586694212, 'dropout_rate': 0.495986780720622, 'ccp_alpha': 0.00489221307374655}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:31:14,812][0m Trial 365 finished with value: 0.6763674049145554 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007037922629669342, 'n_estimators': 783, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.012176336001634187, 'min_impurity_decrease': 0.414341874924341, 'max_features': 0.8017806307447579, 'subsample': 0.8883227776333552, 'dropout_rate': 0.47550627924162053, 'ccp_alpha': 0.24827915988635987}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:32:29,935][0m Trial 366 finished with value: 0.8517548475328484 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006396520672229864, 'n_estimators': 796, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.041620653563736315, 'min_impurity_decrease': 0.37132628099942844, 'max_features': 0.8224571062310128, 'subsample': 0.8285947891223082, 'dropout_rate': 0.4649728407592683, 'ccp_alpha': 0.17720171977574573}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:33:27,465][0m Trial 367 finished with value: 0.8654685082232241 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008613002345487633, 'n_estimators': 746, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.028058741167802322, 'min_impurity_decrease': 0.4006384470112549, 'max_features': 0.8516726464114192, 'subsample': 0.8064269926479593, 'dropout_rate': 0.5330917062522273, 'ccp_alpha': 0.09698076375484621}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:34:48,830][0m Trial 368 finished with value: 0.8742799800867325 and parameters: {'loss': 'coxph', 'learning_rate': 0.0010836541265522033, 'n_estimators': 808, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.04802000683627583, 'min_impurity_decrease': 0.43509983301378746, 'max_features': 0.8394741947911696, 'subsample': 0.8423938539136816, 'dropout_rate': 0.47987780575831945, 'ccp_alpha': 0.004121742108391828}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:36:00,196][0m Trial 369 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007839736598234622, 'n_estimators': 807, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.043404434660693776, 'min_impurity_decrease': 0.4240707003775916, 'max_features': 0.811963042297946, 'subsample': 0.7984284038234202, 'dropout_rate': 0.49126947019024386, 'ccp_alpha': 0.16802792484346518}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:37:10,397][0m Trial 370 finished with value: 0.8669069370719207 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011145945044169522, 'n_estimators': 764, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.03322203719700213, 'min_impurity_decrease': 0.4281757619968256, 'max_features': 0.8336807472544723, 'subsample': 0.9085295765384509, 'dropout_rate': 0.47849383884202507, 'ccp_alpha': 0.003993427352308675}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:38:23,090][0m Trial 371 finished with value: 0.8723838900259577 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008423228754553925, 'n_estimators': 804, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.01594607695791815, 'min_impurity_decrease': 0.44914328329859415, 'max_features': 0.8474217262603356, 'subsample': 0.8247015478389547, 'dropout_rate': 0.5081301193466445, 'ccp_alpha': 0.0020881641059152575}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:39:26,606][0m Trial 372 finished with value: 0.6580440744419354 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006178392953322873, 'n_estimators': 731, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.002856331884793919, 'min_impurity_decrease': 0.4500082892352143, 'max_features': 0.8221826570444642, 'subsample': 0.8511765715374018, 'dropout_rate': 0.4532116763641328, 'ccp_alpha': 0.3109925633517729}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:40:38,858][0m Trial 373 finished with value: 0.8644377531550612 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011307488057111196, 'n_estimators': 803, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.04437554543004238, 'min_impurity_decrease': 0.5076375813346492, 'max_features': 0.8020991921641145, 'subsample': 0.840276357473548, 'dropout_rate': 0.4783003236157279, 'ccp_alpha': 0.15674026061746452}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:41:38,837][0m Trial 374 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008777168149131099, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.02551908017390807, 'min_impurity_decrease': 0.40961178009327825, 'max_features': 0.8483686291296633, 'subsample': 0.789599392288297, 'dropout_rate': 0.4384968755034238, 'ccp_alpha': 0.46749490119561754}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:42:41,457][0m Trial 375 finished with value: 0.8285330664335142 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011963844621526094, 'n_estimators': 786, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.03517811265807505, 'min_impurity_decrease': 0.3785968233938527, 'max_features': 0.8538379241347442, 'subsample': 0.8118778034323466, 'dropout_rate': 0.5214854713014347, 'ccp_alpha': 0.25143873184972604}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:43:54,502][0m Trial 376 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011727552604458406, 'n_estimators': 766, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.04619910064103869, 'min_impurity_decrease': 0.46214476939844806, 'max_features': 0.8292806154083036, 'subsample': 0.8611406111818055, 'dropout_rate': 0.4195492663151621, 'ccp_alpha': 0.09206656901696715}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:45:19,806][0m Trial 377 finished with value: 0.8601022919532498 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007680836954384776, 'n_estimators': 824, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023964225630598662, 'min_impurity_decrease': 0.4326145533412465, 'max_features': 0.8175834772479831, 'subsample': 0.7801051017010978, 'dropout_rate': 0.44723841756031324, 'ccp_alpha': 0.16698594436906816}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:46:45,434][0m Trial 378 finished with value: 0.8711288095350076 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005798029522552232, 'n_estimators': 837, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.05673712504193055, 'min_impurity_decrease': 0.4064869261042409, 'max_features': 0.8575318993667082, 'subsample': 0.7902168532589758, 'dropout_rate': 0.46818066596466434, 'ccp_alpha': 0.0953668119073097}. Best is trial 320 with value: 0.8779201817156906.[0m
[32m[I 2022-04-13 23:47:54,784][0m Trial 379 finished with value: 0.878361797817203 and parameters: {'loss': 'coxph', 'learning_rate': 0.001000748626773709, 'n_estimators': 757, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.03752103493154371, 'min_impurity_decrease': 0.36572476581705354, 'max_features': 0.835871108307101, 'subsample': 0.7701308860836282, 'dropout_rate': 0.4917508399058864, 'ccp_alpha': 0.0020380599176421156}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:48:56,833][0m Trial 380 finished with value: 0.661917533229824 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009410808700794419, 'n_estimators': 749, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.013573278486778778, 'min_impurity_decrease': 0.3555244072790717, 'max_features': 0.7958638199947698, 'subsample': 0.8400380459707671, 'dropout_rate': 0.4980503670440316, 'ccp_alpha': 0.27695580660461705}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:49:51,081][0m Trial 381 finished with value: 0.8714868883139543 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011307771517422688, 'n_estimators': 721, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0603647891722413, 'min_impurity_decrease': 0.3912960046450192, 'max_features': 0.8400018638826702, 'subsample': 0.7714332702622317, 'dropout_rate': 0.5623634059101555, 'ccp_alpha': 0.1014281888297208}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:50:58,063][0m Trial 382 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007285986735118118, 'n_estimators': 778, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.03221630741999651, 'min_impurity_decrease': 0.3709070194610266, 'max_features': 0.8207819883260217, 'subsample': 0.8198774548647626, 'dropout_rate': 0.487764429829864, 'ccp_alpha': 3.09802837460184}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:52:15,184][0m Trial 383 finished with value: -0.3742010162295872 and parameters: {'loss': 'squared', 'learning_rate': 0.0012064962914367762, 'n_estimators': 755, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.04816166002377294, 'min_impurity_decrease': 0.36338808894778385, 'max_features': 0.7930326974492523, 'subsample': 0.7959154380188604, 'dropout_rate': 0.4080602715660756, 'ccp_alpha': 0.0010640879602814325}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:53:29,703][0m Trial 384 finished with value: 0.8524321639395636 and parameters: {'loss': 'coxph', 'learning_rate': 0.001385309753422823, 'n_estimators': 806, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.02111941447946961, 'min_impurity_decrease': 0.42068490138352205, 'max_features': 0.8415839490172039, 'subsample': 0.76897684251602, 'dropout_rate': 0.46208425503976946, 'ccp_alpha': 0.18516014085004034}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:53:59,996][0m Trial 385 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009585670959449499, 'n_estimators': 503, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.039732836708533524, 'min_impurity_decrease': 0.44023969564910853, 'max_features': 0.8598553805239486, 'subsample': 0.8072076897023509, 'dropout_rate': 0.4307911169933895, 'ccp_alpha': 0.37854867514996404}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:55:29,448][0m Trial 386 finished with value: 0.8729322817848184 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006720473873479944, 'n_estimators': 840, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.04961483089885911, 'min_impurity_decrease': 0.4898402640874787, 'max_features': 0.8088467143797815, 'subsample': 0.7735971562013135, 'dropout_rate': 0.39435655641427, 'ccp_alpha': 0.0031332014916099736}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:57:12,523][0m Trial 387 finished with value: 0.8709309612890117 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005474353981262745, 'n_estimators': 847, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.06063655857193728, 'min_impurity_decrease': 0.47395476302788225, 'max_features': 0.8142751129943991, 'subsample': 0.7839531882722767, 'dropout_rate': 0.3882160861130457, 'ccp_alpha': 0.10546148293475983}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:58:55,607][0m Trial 388 finished with value: 0.7884752993767323 and parameters: {'loss': 'coxph', 'learning_rate': 0.001363060807732275, 'n_estimators': 847, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.05184102311636392, 'min_impurity_decrease': 0.45237717889662954, 'max_features': 0.8022566348241024, 'subsample': 0.8292154741917377, 'dropout_rate': 0.40702382584444263, 'ccp_alpha': 0.2480898184329725}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-13 23:59:56,423][0m Trial 389 finished with value: 0.8645567571646368 and parameters: {'loss': 'coxph', 'learning_rate': 0.0004569034293259244, 'n_estimators': 699, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.046565079279188244, 'min_impurity_decrease': 0.4120890972990612, 'max_features': 0.8292783939876116, 'subsample': 0.8775066492938648, 'dropout_rate': 0.5145148035361022, 'ccp_alpha': 0.0993582276835217}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:01:33,737][0m Trial 390 finished with value: 0.8598089289263295 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007101525345562699, 'n_estimators': 817, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.06328778853191472, 'min_impurity_decrease': 0.4768460835942791, 'max_features': 0.8582414660767577, 'subsample': 0.7638820255637339, 'dropout_rate': 0.3962919526169041, 'ccp_alpha': 0.17628637970998323}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:03:29,915][0m Trial 391 finished with value: 0.8708033624690483 and parameters: {'loss': 'coxph', 'learning_rate': 0.0010267034490087736, 'n_estimators': 869, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.04355461679697251, 'min_impurity_decrease': 0.4916032129017661, 'max_features': 0.8101687137779607, 'subsample': 0.8015190637430175, 'dropout_rate': 0.3595765975764485, 'ccp_alpha': 0.1077972630726744}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:04:54,056][0m Trial 392 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0014383175695010157, 'n_estimators': 767, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.0267519232723258, 'min_impurity_decrease': 0.3978016457553048, 'max_features': 0.859120850884699, 'subsample': 0.78439439758533, 'dropout_rate': 0.42165967159046824, 'ccp_alpha': 0.09311265101456859}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:06:25,482][0m Trial 393 finished with value: 0.8130461275945967 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011215280991871794, 'n_estimators': 828, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.05506616557964589, 'min_impurity_decrease': 0.4385348781229228, 'max_features': 0.8313253674402575, 'subsample': 0.8489187056804218, 'dropout_rate': 0.4396935781193447, 'ccp_alpha': 0.2307740751998324}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:07:45,330][0m Trial 394 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006311301397009295, 'n_estimators': 726, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.036972587347656016, 'min_impurity_decrease': 0.4204503029673288, 'max_features': 0.7884540559126848, 'subsample': 0.755638862248556, 'dropout_rate': 0.35177969920506175, 'ccp_alpha': 3.6032912087127538}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:09:03,926][0m Trial 395 finished with value: 0.8730980021546623 and parameters: {'loss': 'coxph', 'learning_rate': 0.001440046862183823, 'n_estimators': 861, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.014664034750825717, 'min_impurity_decrease': 0.5355244253158061, 'max_features': 0.8500175969003586, 'subsample': 0.8204311004951071, 'dropout_rate': 0.5420221744303187, 'ccp_alpha': 0.008317205381343227}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:10:14,548][0m Trial 396 finished with value: 0.8730980021546623 and parameters: {'loss': 'coxph', 'learning_rate': 0.0012768094162027167, 'n_estimators': 791, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.021571491478701847, 'min_impurity_decrease': 0.5370431516591859, 'max_features': 0.8436937872912149, 'subsample': 0.8177655560358913, 'dropout_rate': 0.5340908005516389, 'ccp_alpha': 0.00382218407499284}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:11:18,484][0m Trial 397 finished with value: 0.8737363597718304 and parameters: {'loss': 'coxph', 'learning_rate': 0.0013847093276404025, 'n_estimators': 788, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.0011177422443840283, 'min_impurity_decrease': 0.507665353129164, 'max_features': 0.8159799378811203, 'subsample': 0.8284347444073028, 'dropout_rate': 0.546605597780173, 'ccp_alpha': 0.005279123569318893}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:12:07,000][0m Trial 398 finished with value: 0.8459979584498021 and parameters: {'loss': 'coxph', 'learning_rate': 0.0014397335017471927, 'n_estimators': 728, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.0011804916221829368, 'min_impurity_decrease': 0.5567472744910803, 'max_features': 0.8672178657952404, 'subsample': 0.8361149569490454, 'dropout_rate': 0.570682625502119, 'ccp_alpha': 0.17030698859410642}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:13:05,381][0m Trial 399 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0012675518784734348, 'n_estimators': 777, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.016346029406259864, 'min_impurity_decrease': 0.45907757486075296, 'max_features': 0.8504250096432557, 'subsample': 0.8582724649225435, 'dropout_rate': 0.5520568595368043, 'ccp_alpha': 0.006095137062711292}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:13:58,977][0m Trial 400 finished with value: 0.8643583372082138 and parameters: {'loss': 'coxph', 'learning_rate': 0.0015171622839642677, 'n_estimators': 752, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.020958955542910343, 'min_impurity_decrease': 0.5405448089731454, 'max_features': 0.8249982106040464, 'subsample': 0.8278275897793502, 'dropout_rate': 0.5821414283178183, 'ccp_alpha': 0.09892071170274681}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:15:16,392][0m Trial 401 finished with value: 0.8764573072678736 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009873215686376107, 'n_estimators': 790, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.009360593763128193, 'min_impurity_decrease': 0.56560885594641, 'max_features': 0.8630333338555343, 'subsample': 0.8109061220805625, 'dropout_rate': 0.5296178833839512, 'ccp_alpha': 0.003234061829515738}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:16:07,434][0m Trial 402 finished with value: 0.8742020206627075 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009222129961812618, 'n_estimators': 686, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0079853040487003, 'min_impurity_decrease': 0.526814062196893, 'max_features': 0.8442412575453028, 'subsample': 0.8161800999855368, 'dropout_rate': 0.5089009866265579, 'ccp_alpha': 0.0034554263735510466}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:16:58,820][0m Trial 403 finished with value: -0.3707969022293639 and parameters: {'loss': 'squared', 'learning_rate': 0.0009618740880469629, 'n_estimators': 696, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.001028723743384424, 'min_impurity_decrease': 0.5226601231877372, 'max_features': 0.8246981685966762, 'subsample': 0.8716820392294856, 'dropout_rate': 0.5262769683625265, 'ccp_alpha': 0.18269580998526716}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:17:56,073][0m Trial 404 finished with value: 0.8663818327944497 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008534443862329384, 'n_estimators': 735, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.009771454560531771, 'min_impurity_decrease': 0.5919651925852915, 'max_features': 0.7923144682860306, 'subsample': 0.8177191992836232, 'dropout_rate': 0.5427228162209441, 'ccp_alpha': 0.09576507749117918}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:18:47,305][0m Trial 405 finished with value: 0.6812946178110596 and parameters: {'loss': 'coxph', 'learning_rate': 0.001091925234493454, 'n_estimators': 671, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.009689035274473658, 'min_impurity_decrease': 0.576418319500462, 'max_features': 0.839248231362737, 'subsample': 0.8414015893740758, 'dropout_rate': 0.530713566391752, 'ccp_alpha': 0.28339028012598433}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:19:54,733][0m Trial 406 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008365212619399692, 'n_estimators': 774, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.011036985029452308, 'min_impurity_decrease': 0.5075224766739261, 'max_features': 0.8080456367753103, 'subsample': 0.8174685050556928, 'dropout_rate': 0.5146053783468681, 'ccp_alpha': 0.8807815301136991}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:20:54,975][0m Trial 407 finished with value: 0.8764573072678736 and parameters: {'loss': 'coxph', 'learning_rate': 0.001013407655241918, 'n_estimators': 787, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.01259490878436325, 'min_impurity_decrease': 0.5478262409663915, 'max_features': 0.8608646900058848, 'subsample': 0.8087528128479742, 'dropout_rate': 0.6166401480274684, 'ccp_alpha': 0.0020653650748743745}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:21:49,129][0m Trial 408 finished with value: 0.8384778297527558 and parameters: {'loss': 'coxph', 'learning_rate': 0.0010060622264137845, 'n_estimators': 750, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0035314400270704573, 'min_impurity_decrease': 0.43680938694670624, 'max_features': 0.8718720297771213, 'subsample': 0.9241571318989507, 'dropout_rate': 0.618674420527567, 'ccp_alpha': 0.1848901078005301}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:22:32,754][0m Trial 409 finished with value: 0.8653868592743736 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007521137874144715, 'n_estimators': 707, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.010828858994054018, 'min_impurity_decrease': 0.5627454268319824, 'max_features': 0.8608865330827136, 'subsample': 0.7964549707116618, 'dropout_rate': 0.6561609610465868, 'ccp_alpha': 0.08915389971597501}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:23:46,273][0m Trial 410 finished with value: 0.8696867760091223 and parameters: {'loss': 'coxph', 'learning_rate': 0.0010102259290502731, 'n_estimators': 786, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.01620693022960333, 'min_impurity_decrease': 0.5315614039188615, 'max_features': 0.8242498741440372, 'subsample': 0.8575034056813341, 'dropout_rate': 0.4867021048774904, 'ccp_alpha': 0.09818346906522021}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:24:51,874][0m Trial 411 finished with value: 0.8656523776438597 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011717694078940933, 'n_estimators': 750, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.019532428856256674, 'min_impurity_decrease': 0.5435460736414583, 'max_features': 0.4331263470085266, 'subsample': 0.8082648340951796, 'dropout_rate': 0.5040797582704034, 'ccp_alpha': 0.0049446058525737455}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:26:06,511][0m Trial 412 finished with value: 0.8736586892112113 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008423787743897336, 'n_estimators': 794, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.002185092403994199, 'min_impurity_decrease': 0.6012249666990829, 'max_features': 0.8643515537924228, 'subsample': 0.8349876503826241, 'dropout_rate': 0.5010032027338659, 'ccp_alpha': 0.0012099865550194964}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:27:02,007][0m Trial 413 finished with value: 0.8434373669114568 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005191503341859582, 'n_estimators': 721, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0024418905690478544, 'min_impurity_decrease': 0.6213827196934414, 'max_features': 0.8616688839709586, 'subsample': 0.839327704295176, 'dropout_rate': 0.5930720869728768, 'ccp_alpha': 0.19667710265650215}. Best is trial 379 with value: 0.878361797817203.[0m
